id_asigantura;id_competencia;competencia
GIISOF01-1-002;CG3;Capacidad de abstracción
GIISOF01-1-002;CG4;Análisis y síntesis
GIISOF01-1-002;CG6;Búsqueda,análisis y gestión de información para transformarla en conocimiento
GIISOF01-1-002;CG7;Destreza en la expresión escrita
GIISOF01-1-002;CG9;Habilidades de Comunicación oral(bien directa,bien apoyada por medios audiovisuales)
GIISOF01-1-002;CG11;Competencia para el trabajo en equipo
GIISOF01-1-002;CG12;Liderazgo
GIISOF01-1-002;CG16;Competencia para la autocrítica,determinante para el propio desarrollo profesional y cultural del individuo
GIISOF01-1-002;CG18;Sentidodelaresponsabilidad
GIISOF01-1-002;CG19;Hábitos de trabajo efectivos
GIISOF01-1-002;CG20;Creatividad
GIISOF01-1-002;CG25;Razonamiento crítico
GIISOF01-1-002;CG26;Habilidad para aprender y trabajar de forma autónoma
GIISOF01-1-003;CG6;Búsqueda,análisis y gestión de información para transformarla en conocimiento
GIISOF01-1-003;CG7;Destreza en la expresión escrita
GIISOF01-1-003,CG27;Iniciativa y espíritu emprendedor
GIISOF01-1-003;BAS6;Conocimiento adecuado del concepto de empresa, marco institucional y jurídico de la empresa. Organización y Gestión de empresas
GIISOF01-2-003;BAS3;Capacidad para comprender y dominar los conceptos básicos de matemática discreta, lógica y algorítmica y complejidad computacional, y su aplicación para la resolución de problemas propios de la ingeniería
GIISOF01-2-003;CE6;Conocimiento y aplicación de los procedimientos algorítmicos básicos de las tecnologías informáticas para diseñar soluciones a problemas, analizando la idoneidad y complejidad de los algoritmos propuestos
GIISOF01-2-003;CE8;Capacidad para analizar, diseñar, construir y mantener aplicaciones de forma robusta, segura y eficiente, eligiendo el paradigma y los lenguajes de programación más adecuados.
GIISOF01-2-003;ISW1;Capacidad para desarrollar, mantener y evaluar servicios y sistemas software que satisfagan todos los requisitos del usuario y se comporten de forma fiable y eficiente, sean asequibles de desarrollar y mantener y cumplan normas de calidad, aplicando las teorías, principios, métodos y prácticas de la Ingeniería del Software.
GIISOF01-2-003;CG4;Análisis y síntesis
GIISOF01-2-003;CG7;Destreza en la expresión escrita
GIISOF01-2-003;CG1;Competencia para el diseño de soluciones a problemas
GIISOF01-2-003;CG10;Destreza en la comunicación oral y escrita en inglés
